id,estatus,tipo_poblacion,codigo_postal,colonia,alcaldia,estado_civil,dependientes_ecconomicos,num_dependientes_economicos,ult_grado_estudios,estatus_estudios,profesion,tiempo_buscando_empleo
11296,NO APROBADO,POBLACION GENERAL,9570,SANTA MARIA AZTAHUACAN,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11297,APROBADO,POBLACION GENERAL,14200,HEROES DE PADIERNA,TLALPAN,SOLTER0-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,6 MESES A 1 AÑO
11298,NO APROBADO,POBLACION GENERAL,7560,AMPLIACION PROVIDENCIA,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11299,APROBADO,POBLACION GENERAL,14376,ARBOLEDAS DEL SUR,TLALPAN,CASADO-A,SI,3,LICENCIATURA,TRUNCO,MEDICO CIRUJANO,MAS DE 1 AÑO
11300,NO APROBADO,POBLACION GENERAL,8420,CUCHILLA AGRICOLA ORIENTAL,IZTACALCO,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
11301,APROBADO,POBLACION GENERAL,14220,CUCHILLA DE PADIERNA,TLALPAN,SOLTER0-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,MAS DE 1 AÑO
11302,NO APROBADO,POBLACION GENERAL,10640,PUEBLO NUEVO BAJO,LA MAGDALENA CONTRERAS,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11303,APROBADO,POBLACION GENERAL,14330,GRANJAS COAPA,TLALPAN,SOLTER0-A,SI,1,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
11304,APROBADO,POBLACION GENERAL,14030,ISIDRO FABELA,TLALPAN,SIN DATO,SIN DATO,SIN DATO,POSGRADO,CONCLUIDO,SIN DATO,SIN DATO
11305,APROBADO,POBLACION GENERAL,14748,MIRADOR II,TLALPAN,SOLTER0-A,SI,4,SECUNDARIA,CONCLUIDO,SIN DATO,MAS DE 1 AÑO
11306,NO APROBADO,POBLACION GENERAL,7310,BARRIO CANDELARIA TICOMAN,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
11307,APROBADO,POBLACION GENERAL,14640,EJIDOS DE SAN PEDRO MARTIR,TLALPAN,SOLTER0-A,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,6 MESES A 1 AÑO
11308,APROBADO,POBLACION GENERAL,4930,SANTA CECILIA,COYOACAN,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11309,APROBADO,POBLACION GENERAL,12100,TENANTITLA,MILPA ALTA,SOLTER0-A,SI,1,SECUNDARIA,CONCLUIDO,SIN DATO,MAS DE 1 AÑO
11310,NO APROBADO,POBLACION GENERAL,9300,GUADALUPE DEL MORAL,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
11311,APROBADO,POBLACION GENERAL,14250,MIGUEL HIDALGO,TLALPAN,SOLTER0-A,SI,1,SECUNDARIA,CONCLUIDO,SIN DATO,MAS DE 1 AÑO
11312,APROBADO,POBLACION GENERAL,07440,VASCO DE QUIROGA,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11313,APROBADO,POBLACION GENERAL,14430,TLALCOLIGIA,TLALPAN,SOLTER0-A,SI,1,BACHILLERATO,TRUNCO,SIN DATO,6 MESES A 1 AÑO
11314,NO APROBADO,POBLACION GENERAL,9130,SAN LORENZO XICOTENCATL,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11315,APROBADO,POBLACION GENERAL,14100,PEDREGAL DE SAN NICOLAS 4A SECCION,TLALPAN,CASADO-A,NO,0,PRIMARIA,CONCLUIDO,SIN DATO,MAS DE 1 AÑO
11316,NO APROBADO,POBLACION GENERAL,7370,CAPULTITLAN,GUSTAVO A MADERO,SIN DATO,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
11317,APROBADO,POBLACION GENERAL,14250,MIGUEL HIDALGO,TLALPAN,SOLTER0-A,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,MAS DE 1 AÑO
11318,NO APROBADO,POBLACION GENERAL,7910,SAN JUAN DE ARAGON VII SECCION,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11319,APROBADO,POBLACION GENERAL,14269,BARRIO LA FAMA,TLALPAN,SOLTER0-A,NO,0,LICENCIATURA,CONCLUIDO,CHEF,MAS DE 1 AÑO
11320,NO APROBADO,POBLACION GENERAL,7410,JUAN GONZALEZ ROMERO,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11321,APROBADO,POBLACION GENERAL,14390,VILLA COAPA,TLALPAN,SOLTER0-A,SI,5,LICENCIATURA,TRUNCO,ADMINISTRACION EMPRESAS TURISTICAS,MAS DE 1 AÑO
11322,NO APROBADO,POBLACION GENERAL,9700,BUENAVISTA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11323,APROBADO,POBLACION GENERAL,14100,PEDREGAL DE SAN NICOLAS 2A SECCION,TLALPAN,SOLTER0-A,NO,0,LICENCIATURA,TRUNCO,ADMINISTRACION,MAS DE 1 AÑO
11324,NO APROBADO,POBLACION GENERAL,7400,SALVADOR DIAZ MIRON,GUSTAVO A MADERO,SIN DATO,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
11325,APROBADO,POBLACION GENERAL,14250,MIGUEL HIDALGO 4A SECCION,TLALPAN,SOLTER0-A,SI,1,SECUNDARIA,CONCLUIDO,SIN DATO,3 A 6 MESES
11326,NO APROBADO,POBLACION GENERAL,3530,VILLA DE CORTES,BENITO JUAREZ,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
11327,APROBADO,POBLACION GENERAL,14490,SAN MIGUEL XICALCO,TLALPAN,CASADO-A,SI,1,PRIMARIA,CONCLUIDO,SIN DATO,3 A 6 MESES
11328,APROBADO,POBLACION GENERAL,6000,CENTRO (AREA 1),CUAUHTEMOC,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11329,APROBADO,POBLACION GENERAL,14230,CULTURA MAYA,TLALPAN,SOLTER0-A,SI,2,TECNICA/COMERCIAL,CONCLUIDO,ENFERMERIA,MAS DE 1 AÑO
11330,NO APROBADO,POBLACION GENERAL,14650,SAN PEDRO MARTIR,TLALPAN,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,TRUNCO,SIN DATO,SIN DATO
11331,APROBADO,POBLACION GENERAL,14420,SANTA URSULA XITLA,TLALPAN,SOLTER0-A,SI,1,TECNICA/COMERCIAL,CONCLUIDO,TECNICO EN HOTELERIA Y GASTRONOMIA,0 A 3 MESES
11332,NO APROBADO,POBLACION GENERAL,10000,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11333,APROBADO,POBLACION GENERAL,14370,SAN LORENZO HUIPULCO,TLALPAN,SOLTER0-A,NO,0,LICENCIATURA,CONCLUIDO,HIDROBIOLOGO- GEOGRAFO,0 A 3 MESES
11334,APROBADO,POBLACION GENERAL,9640,XALPA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
11335,APROBADO,POBLACION GENERAL,14427,SAN JUAN TEPEXIMILPA,TLALPAN,SOLTER0-A,NO,0,LICENCIATURA,CONCLUIDO,QUIMICO FARMACEUTICO BIOLOGO,3 A 6 MESES
11336,NO APROBADO,POBLACION GENERAL,4250,PASEOS DE TAXQUEÑA,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11337,APROBADO,POBLACION GENERAL,14200,HEROES DE PADIERNA,TLALPAN,SOLTER0-A,NO,0,LICENCIATURA,CONCLUIDO,RELACIONES INTERNACIONALES,3 A 6 MESES
11338,NO APROBADO,POBLACION GENERAL,7970,SAN JUAN DE ARAGON III SECCION,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11339,APROBADO,POBLACION GENERAL,14260,MIGUEL HIDALGO 1A SECCION,TLALPAN,CASADO-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,6 MESES A 1 AÑO
11340,NO APROBADO,POBLACION GENERAL,16400,SAN LORENZO ATEMOAYA,XOCHIMILCO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11341,APROBADO,POBLACION GENERAL,14370,VILLA LAZARO CARDENAS,TLALPAN,SOLTER0-A,NO,0,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
11342,APROBADO,POBLACION GENERAL,14490,SAN MIGUEL XICALCO,TLALPAN,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11343,APROBADO,POBLACION GENERAL,14430,BARRIO EL TRUENITO,TLALPAN,CASADO-A,SI,4,LICENCIATURA,CONCLUIDO,LICENCIADO EN ADMINISTRACION,MAS DE 1 AÑO
11344,NO APROBADO,POBLACION GENERAL,2150,PASTEROS,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
11345,NO APROBADO,POBLACION GENERAL,15960,DEL PARQUE,VENUSTIANO CARRANZA,CASADO-A,SI,3,SECUNDARIA,CONCLUIDO,SIN DATO,6 MESES A 1 AÑO
11346,NO APROBADO,POBLACION GENERAL,04480,CULHUACAN CTM CROC,COYOACAN,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
11347,APROBADO,POBLACION GENERAL,15000,GENERAL IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,CASADO-A,SI,4,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
11348,APROBADO,POBLACION GENERAL,14330,RINCONADA COAPA 1A SECCION,TLALPAN,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
11349,APROBADO,POBLACION GENERAL,15960,DEL PARQUE,VENUSTIANO CARRANZA,SOLTER0-A,SI,2,LICENCIATURA,TRUNCO,SIN DATO,0 A 3 MESES
11350,APROBADO,POBLACION GENERAL,2300,INDUSTRIAL VALLEJO,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11351,APROBADO,POBLACION GENERAL,15510,PENSADOR MEXICANO,VENUSTIANO CARRANZA,CASADO-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
11352,NO APROBADO,POBLACION GENERAL,03500,NATIVITAS,BENITO JUAREZ,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11353,APROBADO,POBLACION GENERAL,15610,CUCHILLA PANTITLAN,VENUSTIANO CARRANZA,CASADO-A,SI,3,LICENCIATURA,CONCLUIDO,LIC. INGENIERO INDUSTRIAL,MAS DE 1 AÑO
11354,NO APROBADO,POBLACION GENERAL,9830,EL MANTO,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11355,APROBADO,POBLACION GENERAL,15990,ALVARO OBREGON,VENUSTIANO CARRANZA,SOLTER0-A,NO,0,LICENCIATURA,TRUNCO,SIN DATO,0 A 3 MESES
11356,APROBADO,POBLACION GENERAL,6400,SANTA MARIA LA RIBERA,CUAUHTEMOC,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11357,APROBADO,POBLACION GENERAL,15270,MORELOS,VENUSTIANO CARRANZA,CASADO-A,SI,1,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
11358,APROBADO,POBLACION GENERAL,16000,BARRIO LA CONCEPCION TLACOAPA,XOCHIMILCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11359,APROBADO,POBLACION GENERAL,15850,MAGDALENA MIXIUHCA,VENUSTIANO CARRANZA,SOLTER0-A,SI,1,LICENCIATURA,CONCLUIDO,CHEF,6 MESES A 1 AÑO
11360,NO APROBADO,POBLACION GENERAL,9850,SAN JUAN XALPA,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11361,APROBADO,POBLACION GENERAL,15400,ROMERO RUBIO,VENUSTIANO CARRANZA,SOLTER0-A,NO,0,LICENCIATURA,CONCLUIDO,LIC. NEGOCIOS INTERNACIONALES,3 A 6 MESES
11362,APROBADO,POBLACION GENERAL,14275,PARAJE 38,TLALPAN,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11363,APROBADO,POBLACION GENERAL,15270,MORELOS,VENUSTIANO CARRANZA,CASADO-A,SI,1,BACHILLERATO,CONCLUIDO,SIN DATO,3 A 6 MESES
11364,NO APROBADO,POB. PRIORITARIA AFECTADOS POR EL SISMO,10020,CUAUHTEMOC,LA MAGDALENA CONTRERAS,SIN DATO,SIN DATO,SIN DATO,PRIMARIA,CONCLUIDO,SIN DATO,SIN DATO
11365,APROBADO,POBLACION GENERAL,15000,GENERAL IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,SOLTER0-A,SI,1,BACHILLERATO,TRUNCO,SIN DATO,0 A 3 MESES
11366,APROBADO,POBLACION GENERAL,01120,HIDALGO,ALVARO OBREGON,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11367,APROBADO,POBLACION GENERAL,15520,PEÑON DE LOS BAÑOS,VENUSTIANO CARRANZA,SOLTER0-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,3 A 6 MESES
11368,APROBADO,POBLACION GENERAL,8730,GABRIEL RAMOS MILLAN,IZTACALCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11369,APROBADO,POBLACION GENERAL,15309,5O TRAMO 20 DE NOVIEMBRE,VENUSTIANO CARRANZA,SOLTER0-A,NO,0,LICENCIATURA,CONCLUIDO,LIC. INGENIERO INDUSTRIAL,3 A 6 MESES
11370,APROBADO,POBLACION GENERAL,9860,CERRO DE LA ESTRELLA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11371,APROBADO,POBLACION GENERAL,15530,MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA,CASADO-A,SI,1,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
11372,APROBADO,POBLACION GENERAL,7800,INDUSTRIAL,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11373,APROBADO,POBLACION GENERAL,15220,POPULAR RASTRO,VENUSTIANO CARRANZA,CASADO-A,SI,2,LICENCIATURA,CONCLUIDO,LIC. CONTADURIA,6 MESES A 1 AÑO
11374,NO APROBADO,POBLACION GENERAL,15730,4 ARBOLES,VENUSTIANO CARRANZA,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO
11375,APROBADO,POBLACION GENERAL,15530,MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA,SOLTER0-A,SI,1,LICENCIATURA,CONCLUIDO,LIC. EN ADMINISTRACION DE EMPRESAS,3 A 6 MESES
11376,NO APROBADO,POBLACION GENERAL,6870,PAULINO NAVARRO,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11377,APROBADO,POBLACION GENERAL,08500,AGRICOLA ORIENTAL,IZTACALCO,CASADO-A,SI,2,BACHILLERATO,CONCLUIDO,SIN DATO,6 MESES A 1 AÑO
11378,NO APROBADO,POBLACION GENERAL,12400,CENTRO,MILPA ALTA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11379,APROBADO,POBLACION GENERAL,15520,PEÑON DE LOS BAÑOS,VENUSTIANO CARRANZA,CASADO-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
11380,NO APROBADO,POBLACION GENERAL,01700,TECALCAPA DEL PUEBLO TETELPAN,ALVARO OBREGON,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11381,APROBADO,POBLACION GENERAL,15230,EMILIO CARRANZA,VENUSTIANO CARRANZA,SOLTER0-A,SI,1,LICENCIATURA,CONCLUIDO,LIC. DERECHO,0 A 3 MESES
11382,APROBADO,POBLACION GENERAL,2400,SAN JUAN TLIHUACA,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11383,APROBADO,POBLACION GENERAL,15000,GENERAL IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,SOLTER0-A,NO,0,LICENCIATURA,CONCLUIDO,LIC. EN COMUNICACION,0 A 3 MESES
11384,NO APROBADO,POBLACION GENERAL,SIN DATO,SIN DATO,GUSTAVO A MADERO,SIN DATO,NO,0,POSGRADO,TRUNCO,SIN DATO,SIN DATO
11385,APROBADO,POBLACION GENERAL,06100,HIPODROMO,CUAUHTEMOC,SOLTER0-A,NO,0,POSGRADO,CONCLUIDO,LIC. EN DERECHO,MAS DE 1 AÑO
11386,APROBADO,POBLACION GENERAL,2100,EL ROSARIO,AZCAPOTZALCO,SOLTER0-A,SI,1,LICENCIATURA,TRUNCO,NO APLICA,SIN DATO
11387,NO APROBADO,POBLACION GENERAL,15210,VALLE GOMEZ,VENUSTIANO CARRANZA,CASADO-A,SI,2,SECUNDARIA,TRUNCO,SIN DATO,0 A 3 MESES
11388,NO APROBADO,POBLACION GENERAL,11320,ANAHUAC II SECCION,MIGUEL HIDALGO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11389,NO APROBADO,POBLACION GENERAL,15850,MAGDALENA MIXIUHCA,VENUSTIANO CARRANZA,CASADO-A,SI,2,LICENCIATURA,CONCLUIDO,LIC. EN CIENCIAS DE LA INFORMATICA,6 MESES A 1 AÑO
11390,APROBADO,POBLACION GENERAL,14630,CHIMALCOYOC,TLALPAN,SOLTER0-A,SI,1,LICENCIATURA,CONCLUIDO,"NO APLICAS TRABAJADORES EN ACTIVIDADES ELEMENTALES Y DE APOYO, NO CLASIFICADOS ANTERIORMENTE",SIN DATO
11391,APROBADO,POBLACION GENERAL,15530,MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA,SOLTER0-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,3 A 6 MESES
11392,APROBADO,POBLACION GENERAL,9220,UNIDAD EJERCITO CONSTITUCIONALISTA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
11393,APROBADO,POBLACION GENERAL,15290,10 DE MAYO,VENUSTIANO CARRANZA,SOLTER0-A,SI,1,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,3 A 6 MESES
11394,NO APROBADO,POBLACION GENERAL,7990,C.T.M. ARAGON,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11395,APROBADO,POBLACION GENERAL,15510,PENSADOR MEXICANO,VENUSTIANO CARRANZA,SOLTER0-A,SI,1,LICENCIATURA,CONCLUIDO,ING. BIOTECNOLOGIA,MAS DE 1 AÑO
11396,NO APROBADO,POBLACION GENERAL,09860,CERRO DE LA ESTRELLA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11397,APROBADO,POBLACION GENERAL,15270,MORELOS,VENUSTIANO CARRANZA,SOLTER0-A,SI,1,LICENCIATURA,TRUNCO,SIN DATO,MAS DE 1 AÑO
11398,APROBADO,POB. PRIORITARIA AGRICULTORES AFECTADO,9840,LOS REYES CULHUACAN,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11399,APROBADO,POBLACION GENERAL,15520,PEÑON DE LOS BAÑOS,VENUSTIANO CARRANZA,CASADO-A,SI,2,SECUNDARIA,CONCLUIDO,SIN DATO,6 MESES A 1 AÑO
11400,NO APROBADO,POBLACION GENERAL,08500,AGRICOLA ORIENTAL,IZTACALCO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11401,APROBADO,POBLACION GENERAL,15900,JARDIN BALBUENA,VENUSTIANO CARRANZA,SOLTER0-A,NO,0,LICENCIATURA,TRUNCO,SIN DATO,0 A 3 MESES
11402,NO APROBADO,POBLACION GENERAL,7740,VALLE DEL TEPEYAC,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11403,APROBADO,POBLACION GENERAL,08400,GRANJAS MEXICO,IZTACALCO,SOLTER0-A,SI,3,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,3 A 6 MESES
11404,APROBADO,POBLACION GENERAL,01430,COLINA DEL SUR,ALVARO OBREGON,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11405,APROBADO,POBLACION GENERAL,15900,JARDIN BALBUENA,VENUSTIANO CARRANZA,CASADO-A,SI,2,LICENCIATURA,CONCLUIDO,LIC. EN CONTADURIA,3 A 6 MESES
11406,NO APROBADO,POBLACION GENERAL,02640,MONTE ALTO,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
11407,APROBADO,POBLACION GENERAL,15270,MORELOS,VENUSTIANO CARRANZA,CASADO-A,SI,2,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
11408,NO APROBADO,POBLACION GENERAL,15210,VALLE GOMEZ,VENUSTIANO CARRANZA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
11409,APROBADO,POBLACION GENERAL,15400,ROMERO RUBIO,VENUSTIANO CARRANZA,SOLTER0-A,SI,3,SECUNDARIA,CONCLUIDO,SIN DATO,0 A 3 MESES
11410,NO APROBADO,POBLACION GENERAL,9510,SANTA MARTHA ACATITLA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
11411,APROBADO,POBLACION GENERAL,15010,VALENTIN GOMEZ FARIAS,VENUSTIANO CARRANZA,SOLTER0-A,SI,2,LICENCIATURA,CONCLUIDO,ING. EN SISTEMAS COMPUTACIONALES,MAS DE 1 AÑO
11412,NO APROBADO,POBLACION GENERAL,7210,CHALMA DE GUADALUPE,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11413,APROBADO,POBLACION GENERAL,06800,OBRERA,CUAUHTEMOC,CASADO-A,SI,3,SECUNDARIA,TRUNCO,SIN DATO,6 MESES A 1 AÑO
11414,NO APROBADO,POBLACION GENERAL,7410,JUAN GONZALEZ ROMERO,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
11415,APROBADO,POBLACION GENERAL,15340,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,SOLTER0-A,SI,1,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
11416,APROBADO,POBLACION GENERAL,SIN DATO,EX-EJIDO DE SAN FRANCISCO CULHUACAN,COYOACAN,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11417,APROBADO,POBLACION GENERAL,15410,SIMON BOLIVAR,VENUSTIANO CARRANZA,SOLTER0-A,SI,4,BACHILLERATO,TRUNCO,SIN DATO,0 A 3 MESES
11418,APROBADO,POBLACION GENERAL,5000,CUAJIMALPA,CUAJIMALPA DE MORELOS,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11419,APROBADO,POBLACION GENERAL,15660,ARENAL 3A SECCION,VENUSTIANO CARRANZA,SOLTER0-A,NO,0,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,3 A 6 MESES
11420,NO APROBADO,POBLACION GENERAL,11870,TACUBAYA,MIGUEL HIDALGO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
11421,APROBADO,POBLACION GENERAL,15530,MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA,SOLTER0-A,SI,2,BACHILLERATO,TRUNCO,SIN DATO,0 A 3 MESES
11422,APROBADO,POBLACION GENERAL,16200,SANTIAGO TEPALCATLALPAN,XOCHIMILCO,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,TRUNCO,SIN DATO,SIN DATO
11423,APROBADO,POBLACION GENERAL,15400,ROMERO RUBIO,VENUSTIANO CARRANZA,CASADO-A,SI,1,BACHILLERATO,CONCLUIDO,SIN DATO,0 A 3 MESES
11424,APROBADO,POBLACION GENERAL,15300,20 DE NOVIEMBRE,VENUSTIANO CARRANZA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
11425,APROBADO,POBLACION GENERAL,15410,ROMERO RUBIO,VENUSTIANO CARRANZA,SOLTER0-A,NO,SIN DATO,LICENCIATURA,CONCLUIDO,LIC. EN ADMINISTRACION DE EMPRESAS,3 A 6 MESES
11426,APROBADO,POB. PRIORITARIA AFECTADOS POR EL SISMO,13010,SANTA CECILIA,TLAHUAC,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11427,APROBADO,POBLACION GENERAL,15900,JARDIN BALBUENA,VENUSTIANO CARRANZA,SOLTER0-A,SI,2,LICENCIATURA,CONCLUIDO,LIC. RELACIONES COMERCIALES,0 A 3 MESES
11428,APROBADO,POBLACION GENERAL,9429,PURISIMA ATLAZOLPA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
11429,APROBADO,POBLACION GENERAL,15900,JARDIN BALBUENA,VENUSTIANO CARRANZA,SOLTER0-A,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,6 MESES A 1 AÑO
11430,NO APROBADO,POB. MUJERES DESPEDIDAS POR EMBARAZO,7040,SANTIAGO ATZACOALCO,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
